Date,NVDA,TSLA,MSFT,AAPL,GOOG,META,AMZN
2011-09-29,0.3000340759754181,1.6080000400543213,19.782684326171875,11.713600158691406,13.040449142456055,,11.121999740600586
2011-09-30,0.2867400348186493,1.6260000467300415,19.347383499145508,11.436187744140625,12.732422828674316,,10.81149959564209
2011-10-03,0.27069538831710815,1.5820000171661377,19.06756019592285,11.23464584350586,12.249862670898438,,10.598999977111816
2011-10-04,0.29567909240722656,1.5773329734802246,19.69718360900879,11.171663284301758,12.407585144042969,,10.625
2011-10-05,0.30622270703315735,1.6913330554962158,20.12470245361328,11.344110488891602,12.476804733276367,,10.975000381469727
2011-10-06,0.3183707296848297,1.797333002090454,20.474496841430664,11.317721366882324,12.724265098571777,,11.075499534606934
2011-10-07,0.32433024048805237,1.7993329763412476,20.404542922973633,11.090689659118652,12.734400749206543,,11.237000465393066
2011-10-10,0.33877032995224,1.858667016029358,20.940887451171875,11.660816192626953,13.27950382232666,,11.565999984741211
2011-10-11,0.335102915763855,1.8406670093536377,20.987531661987305,12.005114555358887,13.428078651428223,,11.77400016784668
2011-10-12,0.33487367630004883,1.8533329963684082,20.95643424987793,12.062100410461426,13.559595108032227,,11.840499877929688
2011-10-13,0.35435640811920166,1.8626669645309448,21.127439498901367,12.24924373626709,13.818921089172363,,11.807499885559082
2011-10-14,0.36031603813171387,1.8700000047683716,21.197404861450195,12.656221389770508,14.627058982849121,,12.33549976348877
2011-10-17,0.34243762493133545,1.8279999494552612,20.971973419189453,12.595940589904785,14.397891998291016,,12.116499900817871
2011-10-18,0.3548147678375244,1.8893330097198486,21.22850227355957,12.663420677185059,14.59813404083252,,12.194000244140625
2011-10-19,0.34770944714546204,1.8380000591278076,21.088573455810547,11.95502758026123,14.355618476867676,,11.576499938964844
2011-10-20,0.33028948307037354,1.8226670026779175,21.018617630004883,11.85576057434082,14.429041862487793,,11.680500030517578
2011-10-21,0.33189401030540466,1.8686670064926147,21.111896514892578,11.782583236694336,14.597639083862305,,11.73900032043457
2011-10-24,0.34427136182785034,1.9033329486846924,21.135221481323242,12.16946029663086,14.74423599243164,,11.880499839782715
2011-10-25,0.3312065005302429,1.8833329677581787,20.839839935302734,11.929537773132324,14.416434288024902,,11.357500076293945
2011-10-26,0.335102915763855,1.8653329610824585,20.668825149536133,12.014410018920898,14.494305610656738,,9.920000076293945
2011-10-27,0.3495430648326874,1.9173330068588257,21.181854248046875,12.137072563171387,14.799858093261719,,10.33899974822998
2011-10-28,0.3575655519962311,1.9913330078125,20.971973419189453,12.144872665405273,14.836200714111328,,10.866000175476074
2011-10-31,0.3392287790775299,1.9579999446868896,20.699922561645508,12.139775276184082,14.650788307189941,,10.67549991607666
2011-11-01,0.32226720452308655,1.925333023071289,20.202434539794922,11.891749382019043,14.304939270019531,,10.604999542236328
2011-11-02,0.31676629185676575,1.9140000343322754,20.21799087524414,11.918739318847656,14.457469940185547,,10.781000137329102
2011-11-03,0.3357906639575958,2.1640000343322754,20.622182846069336,12.088489532470703,14.77093505859375,,10.91450023651123
2011-11-04,0.3396872282028198,2.1540000438690186,20.404542922973633,12.00361442565918,14.737314224243164,,10.824000358581543
2011-11-07,0.33785349130630493,2.0846669673919678,20.832063674926758,11.988317489624023,15.038665771484375,,10.850000381469727
2011-11-08,0.345646470785141,2.122667074203491,21.111896514892578,12.18326187133789,15.137797355651855,,10.899499893188477
2011-11-09,0.3282266855239868,2.058666944503784,20.365673065185547,11.854862213134766,14.856223106384277,,10.560999870300293
2011-11-10,0.33166494965553284,2.0886669158935547,20.4278507232666,11.553146362304688,14.711111068725586,,10.53950023651123
2011-11-11,0.3433544635772705,2.2426669597625732,20.917570114135742,11.535155296325684,15.03916072845459,,10.869500160217285
2011-11-14,0.3367074429988861,2.2146670818328857,20.800975799560547,11.374405860900879,15.154114723205566,,10.946499824523926
2011-11-15,0.34106242656707764,2.26200008392334,20.941936492919922,11.661420822143555,15.242120742797852,,10.891500473022461
2011-11-16,0.3341861069202423,2.3293330669403076,20.417219161987305,11.539653778076172,15.116291046142578,,10.599499702453613
2011-11-17,0.32226720452308655,2.245332956314087,20.002138137817383,11.318918228149414,14.854246139526367,,10.22599983215332
2011-11-18,0.31928759813308716,2.173332929611206,19.814178466796875,11.244840621948242,14.70616626739502,,9.857000350952148
2011-11-21,0.33533215522766113,2.117332935333252,19.57923126220703,11.067001342773438,14.361552238464355,,9.462499618530273
2011-11-22,0.345646470785141,2.138000011444092,19.414770126342773,11.2919282913208,14.338314056396484,,9.616999626159668
2011-11-23,0.3309772312641144,2.0966670513153076,19.16414451599121,11.006415367126465,14.093819618225098,,9.44950008392334
2011-11-25,0.32180896401405334,2.1106669902801514,19.031007766723633,10.903843879699707,13.918052673339844,,9.119999885559082
2011-11-28,0.3399163484573364,2.1706669330596924,19.477413177490234,11.280230522155762,14.540781021118164,,9.707500457763672
2011-11-29,0.34174999594688416,2.1166670322418213,19.453916549682617,11.192658424377441,14.410747528076172,,9.419500350952148
2011-11-30,0.3582530617713928,2.1826670169830322,20.03346061706543,11.462576866149902,14.817657470703125,,9.614500045776367
2011-12-01,0.36260804533958435,2.173332929611206,19.798513412475586,11.63442611694336,15.173151016235352,,9.856499671936035
2011-12-02,0.36031603813171387,2.2200000286102295,19.751527786254883,11.687508583068848,15.336063385009766,,9.80150032043457
2011-12-05,0.3548147678375244,2.2946670055389404,20.1274471282959,11.786783218383789,15.466837882995605,,9.812000274658203
