Date,DJIA_USD,CAC40_EUR,FTSE100_GBP,NIKKEI225_JPY,USD_per_USD,USD_per_GBP,USD_per_EUR,USD_per_JPY,MXN_per_USD,MXN_per_GBP,MXN_per_EUR,MXN_per_JPY
1/4/2005,10630.78027,3863.300048828125,4847,11517.75,1,1.8835939168930054,1.3281975984573364,0.009584052,11.347000122070312,21.37314040491583,15.071058311828892,0.10875024458813114
1/5/2005,10597.83008,3829.360107421875,4806,11437.51953,1,1.8855117559432983,1.3280036449432373,0.009621861,11.329999923706055,21.36284805098444,15.046281195888241,0.10901568257901577
1/6/2005,10622.87988,3856.47998,4824.299805,11492.25977,1,1.876489520072937,1.3183046579360962,0.009533797,11.357999801635742,21.313167596759968,14.973304043333655,0.10828486860260826
1/7/2005,10603.95996,3877.959961,4854.100098,11433.24023,1,1.8712925910949707,1.3060967922210693,0.009533797,11.246000289916992,21.04455702197356,14.6883649,0.10721708795268481
1/11/2005,10556.21973,3848.989990234375,4818.700195,11539.99023,1,1.878604531288147,1.3116990327835083,0.00966931,11.177000045776367,20.99716293220331,14.660860149466089,0.10807387588150787
1/12/2005,10617.78027,3816.139892578125,4783.600098,11453.38965,1,1.8907164335250854,1.3255919218063354,0.009761812,11.14799976348877,21.077706353761982,14.777698430779651,0.10882467295786347
1/13/2005,10505.83008,3834.110107421875,4800.299805,11358.21973,1,1.8810075521469116,1.3211086988449097,0.009759906,11.190999984741211,21.05035548737419,14.784527428614865,0.10922311228516451
1/14/2005,10558,3854.600098,4820.799805,11438.38965,1,1.8705923557281494,1.3098949193954468,0.009805844,11.187000274658203,20.926317197304343,14.653794823050248,0.10969797907834254
1/18/2005,10628.79004,3875.02002,4823.899902,11423.25977,1,1.8633078336715698,1.3017951250076294,0.009778995,11.22700023651123,20.919357489323943,14.615254176349822,0.10978877373339631
1/19/2005,10539.96973,3869.010009765625,4818.299805,11405.33984,1,1.8709074258804321,1.3003056049346924,0.009717228,11.218999862670898,20.989710154022532,14.588128403192513,0.10901758296994059
1/20/2005,10471.46973,3842.439941,4800.799805,11284.76953,1,1.8705923557281494,1.296293855,0.009673986,11.27400016784668,21.089058532451872,14.614417135617941,0.10906452421681355
1/21/2005,10392.99023,3854.189941,4803.299805,11238.37012,1,1.8771939277648926,1.299899935722351,0.009745639,11.234999656677246,21.09027313395518,14.604375331555389,0.10949224821994427
1/24/2005,10368.61035,3848.709961,4812.5,11289.49023,1,1.8788868188858032,1.3039000034332275,0.009748489,11.236000061035156,21.111172411679036,14.650620518159485,0.10953402086637136
1/25/2005,10461.55957,3882.040039,4843.200195,11276.91016,1,1.864315152168274,1.2971009016036987,0.009613536,11.272000312805176,21.014560978408213,14.620921768616768,0.10836378270116515
1/26/2005,10498.58984,3879.820068359375,4847.100098,11376.57031,1,1.8821049928665161,1.307805061340332,0.009702144,11.234000205993652,21.143567877564124,14.691882328496831,0.10899388997046616
